price,parking,area,stories,bathrooms,bedrooms,KPI_Area_per_Furnishing,KPI_AirConditioning_Area_Ratio,KPI_Area_per_SemiFurnished,KPI_Bathrooms_per_Furnishing,KPI_Area_per_Guestroom,KPI_Bedrooms_per_Guestroom
13300000,2,7420,3,2,4,7420.0,7420,inf,2.0,inf,inf
12250000,3,8960,4,4,4,8960.0,8960,inf,4.0,inf,inf
12250000,2,9960,2,2,3,inf,0,9960.0,2.0,inf,inf
12215000,3,7500,2,2,4,7500.0,7500,inf,2.0,inf,inf
11410000,2,7420,2,1,4,7420.0,7420,inf,1.0,7420.0,4.0
10850000,2,7500,1,3,3,inf,7500,7500.0,3.0,inf,inf
10150000,2,8580,4,3,4,inf,8580,8580.0,3.0,inf,inf
10150000,0,16200,2,3,5,16200.0,0,inf,3.0,inf,inf
9870000,2,8100,2,1,4,8100.0,8100,inf,1.0,8100.0,4.0
9800000,1,5750,4,2,3,5750.0,5750,inf,2.0,5750.0,3.0
9800000,2,13200,2,1,3,13200.0,13200,inf,1.0,inf,inf
9681000,2,6000,2,3,4,inf,0,6000.0,3.0,6000.0,4.0
9310000,1,6550,2,2,4,inf,6550,6550.0,2.0,inf,inf
9240000,2,3500,2,2,4,3500.0,0,inf,2.0,inf,inf
9240000,0,7800,2,2,3,inf,0,7800.0,2.0,inf,inf
9100000,2,6000,2,1,4,inf,0,6000.0,1.0,inf,inf
9100000,1,6600,2,2,4,6600.0,6600,inf,2.0,6600.0,4.0
8960000,2,8500,4,2,3,8500.0,8500,inf,2.0,inf,inf
8890000,2,4600,2,2,3,4600.0,4600,inf,2.0,4600.0,3.0
8855000,1,6420,2,2,3,inf,6420,6420.0,2.0,inf,inf
8750000,2,4320,2,1,3,inf,0,4320.0,1.0,inf,inf
8680000,2,7155,1,2,3,7155.0,7155,inf,2.0,7155.0,3.0
8645000,1,8050,1,1,3,8050.0,8050,inf,1.0,8050.0,3.0
8645000,1,4560,2,2,3,4560.0,4560,inf,2.0,4560.0,3.0
8575000,2,8800,2,2,3,8800.0,8800,inf,2.0,inf,inf
8540000,2,6540,2,2,4,6540.0,6540,inf,2.0,6540.0,4.0
8463000,0,6000,4,2,3,inf,6000,6000.0,2.0,6000.0,3.0
8400000,1,8875,1,1,3,inf,0,8875.0,1.0,inf,inf
8400000,2,7950,2,2,5,7950.0,0,inf,2.0,inf,inf
8400000,1,5500,2,2,4,inf,5500,5500.0,2.0,inf,inf
8400000,2,7475,4,2,3,7475.0,7475,inf,2.0,inf,inf
8400000,2,7000,4,1,3,inf,7000,7000.0,1.0,inf,inf
8295000,1,4880,2,2,4,4880.0,4880,inf,2.0,inf,inf
8190000,1,5960,2,3,3,5960.0,0,inf,3.0,5960.0,3.0
8120000,1,6840,2,1,5,6840.0,6840,inf,1.0,6840.0,5.0
8080940,2,7000,4,2,3,7000.0,7000,inf,2.0,inf,inf
8043000,1,7482,3,2,3,7482.0,0,inf,2.0,inf,inf
7980000,2,9000,4,2,4,9000.0,9000,inf,2.0,inf,inf
7962500,2,6000,4,1,3,6000.0,6000,inf,1.0,6000.0,3.0
7910000,1,6000,4,2,4,inf,6000,6000.0,2.0,inf,inf
7875000,0,6550,2,1,3,6550.0,6550,inf,1.0,inf,inf
7840000,0,6360,4,2,3,6360.0,6360,inf,2.0,inf,inf
7700000,2,6480,4,2,3,6480.0,6480,inf,2.0,inf,inf
7700000,2,6000,4,2,4,inf,0,6000.0,2.0,inf,inf
7560000,1,6000,4,2,4,6000.0,6000,inf,2.0,inf,inf
7560000,0,6000,3,2,3,inf,6000,6000.0,2.0,inf,inf
7525000,1,6000,4,2,3,6000.0,6000,inf,2.0,inf,inf
7490000,3,6600,4,1,3,6600.0,6600,inf,1.0,inf,inf
7455000,1,4300,2,2,3,4300.0,0,inf,2.0,inf,inf
7420000,0,7440,1,2,3,inf,7440,7440.0,2.0,7440.0,3.0
7420000,1,7440,4,2,3,7440.0,0,inf,2.0,inf,inf
7420000,1,6325,4,1,3,6325.0,6325,inf,1.0,inf,inf
7350000,1,6000,4,2,4,6000.0,6000,inf,2.0,6000.0,4.0
7350000,2,5150,4,2,3,inf,5150,5150.0,2.0,inf,inf
7350000,1,6000,2,2,3,inf,6000,6000.0,2.0,6000.0,3.0
7350000,1,6000,2,1,3,6000.0,6000,inf,1.0,inf,inf
7343000,1,11440,2,1,4,inf,0,11440.0,1.0,inf,inf
7245000,1,9000,4,2,4,9000.0,9000,inf,2.0,9000.0,4.0
