SalePrice,OverallQual,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,1stFlrSF,ExterQual_TA,FullBath,TotRmsAbvGrd,YearBuilt,KitchenQual_TA,YearRemodAdd,Foundation_PConc,MasVnrArea,Fireplaces,ExterQual_Gd,BsmtQual_TA,BsmtFinType1_GLQ,Neighborhood_NridgHt,BsmtFinSF1,SaleType_New,SaleCondition_Partial,Foundation_CBlock,Neighborhood_NoRidge,WoodDeckSF,KitchenQual_Gd,2ndFlrSF,OpenPorchSF,HeatingQC_TA,BsmtExposure_Gd,Exterior2nd_VinylSd,Exterior1st_VinylSd,MSZoning_RM,HalfBath,LotShape_Reg,LotArea,BsmtExposure_No,CentralAir,MSZoning_RL,HouseStyle_2Story,SaleType_WD,Electrical_SBrkr,RoofStyle_Hip,BsmtQual_Gd,BsmtFullBath,RoofStyle_Gable,Neighborhood_StoneBr,BsmtUnfSF,PavedDrive,Neighborhood_OldTown,Neighborhood_NAmes,Neighborhood_Edwards,RoofMatl_WdShngl,BedroomAbvGr,Exterior1st_MetalSd,Neighborhood_IDOTRR,Exterior2nd_MetalSd,Exterior2nd_Wd Sdng,Exterior1st_Wd Sdng,KitchenQual_Fa,SaleCondition_Normal,Neighborhood_BrkSide,LotConfig_CulDSac,Neighborhood_Somerst,ExterCond_Fa,KitchenAbvGr,BsmtFinType1_Rec,HeatingQC_Gd,HeatingQC_Fa,Exterior1st_CemntBd,BsmtFinType1_BLQ,BsmtQual_Fa,EnclosedPorch,Neighborhood_Sawyer,Exterior2nd_CmentBd,Electrical_FuseF,Neighborhood_Timber,LotShape_IR2,LandContour_HLS,Foundation_Slab,BsmtFinType2_Unf,Condition1_Feedr,Functional_Typ,ExterQual_Fa,BldgType_Duplex,Condition1_Norm,Neighborhood_MeadowV,ScreenPorch,ExterCond_TA,RoofMatl_CompShg,Neighborhood_BrDale,BsmtCond_TA,BldgType_Twnhs,BldgType_2fmCon,Exterior1st_HdBoard,HouseStyle_SFoyer,Heating_GasA,PoolArea,Heating_Grav,MSZoning_FV,BsmtCond_Gd,HouseStyle_1.5Unf,BsmtFinType1_LwQ,MSSubClass,BsmtFinType1_Unf,LotConfig_Inside,OverallCond,Exterior2nd_ImStucc,Neighborhood_CollgCr,Functional_Min2,Neighborhood_Crawfor,Functional_Maj2,Exterior2nd_HdBoard,MSZoning_RH,Functional_Min1,Neighborhood_SWISU,Neighborhood_Veenker,HouseStyle_1Story,Heating_Wall,Neighborhood_Mitchel,BsmtFinType2_BLQ,Neighborhood_ClearCr,BsmtCond_Po,Exterior2nd_Plywood,Exterior1st_WdShing,Exterior1st_BrkComm,SaleCondition_AdjLand,ExterCond_Gd,Condition1_PosN,Condition2_PosN,Condition2_Feedr,Electrical_FuseP,Condition2_PosA,Exterior2nd_Brk Cmn,Condition1_RRAe,SaleCondition_Family,MoSold,LandContour_Low,Exterior2nd_Other,RoofMatl_WdShake,3SsnPorch,BsmtExposure_Mn,LandSlope_Mod,Exterior2nd_Stucco,Condition1_PosA,SaleType_ConLD,SaleType_Con,Street_Pave,Exterior2nd_Wd Shng,BsmtFinType2_Rec,Condition2_RRNn,HouseStyle_SLvl,Neighborhood_NPkVill,BsmtFinType2_LwQ,Electrical_Mix,LotShape_IR3,HouseStyle_2.5Fin,Exterior1st_Stone,Neighborhood_Gilbert,RoofStyle_Gambrel,SaleType_Oth,ExterCond_Po,Exterior1st_BrkFace,HeatingQC_Po,Condition2_Norm,Exterior1st_Stucco,YrSold,LandSlope_Sev,LandContour_Lvl,SaleType_ConLw,Exterior1st_ImStucc,Exterior1st_AsphShn,HouseStyle_2.5Unf,Heating_OthW,LowQualFinSF,Exterior1st_CBlock,Exterior2nd_CBlock,Exterior2nd_BrkFace,Exterior2nd_AsphShn,Neighborhood_NWAmes,Condition1_RRNn,Id,MiscVal,RoofStyle_Shed,Neighborhood_Blueste,Heating_GasW,RoofMatl_Membran,SaleType_CWD,LotConfig_FR3,Exterior1st_Plywood,KPI_mult_Id_ExterQual_Gd,KPI_mult_Id_BsmtFinType1_GLQ,KPI_mult_Id_BsmtQual_TA,KPI_mult_Id_Neighborhood_NridgHt,KPI_mult_Id_Neighborhood_NoRidge,KPI_mult_Id_SaleType_New,KPI_mult_Id_SaleCondition_Partial,KPI_mult_Id_BsmtFinSF1,KPI_mult_Id_Foundation_CBlock,KPI_mult_Id_BsmtExposure_Gd,KPI_mult_Id_HeatingQC_TA,KPI_mult_Id_WoodDeckSF,KPI_mult_Id_OpenPorchSF,KPI_mult_Id_KitchenQual_Gd,KPI_mult_Id_2ndFlrSF,KPI_mult_Id_MSZoning_RM,KPI_mult_Id_Exterior2nd_VinylSd,KPI_mult_Id_Exterior1st_VinylSd,KPI_mult_Id_LotShape_Reg,KPI_mult_Id_LotArea,KPI_div_Id_LotArea,KPI_mult_Id_HalfBath,KPI_mult_Id_RoofStyle_Hip,KPI_mult_Id_BsmtExposure_No,KPI_mult_Id_BsmtQual_Gd,KPI_mult_Id_HouseStyle_2Story,KPI_div_Id_Neighborhood_StoneBr,KPI_mult_Id_RoofStyle_Gable,KPI_mult_Id_Neighborhood_StoneBr,KPI_mult_Id_BsmtFullBath,KPI_mult_Id_Neighborhood_OldTown,KPI_mult_Id_Neighborhood_NAmes,KPI_div_Id_Neighborhood_NridgHt,KPI_mult_Id_Neighborhood_Edwards,KPI_mult_Id_BsmtUnfSF,KPI_mult_Id_Exterior1st_MetalSd,KPI_mult_Id_SaleType_WD,KPI_div_Id_SaleType_New,KPI_mult_Id_Exterior2nd_Wd Sdng,KPI_div_Id_SaleCondition_Partial
208500,7,1710,2,548,856,856,0,2,8,2003,0,2003,1,196.0,0,1,0,1,0,706,0,0,0,0,0,1,854,61,0,0,1,1,0,1,1,8450,1,1,1,1,1,1,0,1,1,1,0,150,1.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,60,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,706,0,0,0,0,61,1,854,0,1,1,1,8450,0.00011834319526627219,1,0,1,1,1,0.0,1,0,1,0,0,0.0,0,150,0,1,0.0,0,0.0
181500,6,1262,2,460,1262,1262,1,2,6,1976,1,1976,0,0.0,1,0,0,0,0,978,0,0,1,0,298,0,0,0,0,1,0,0,0,0,1,9600,0,1,1,0,1,1,0,1,0,1,0,284,1.0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,20,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,2,2,0,596,0,0,0,0,0,0,2,19200,0.00020833333333333335,0,0,0,2,0,0.0,2,0,0,0,0,0.0,0,568,2,2,0.0,0,0.0
223500,7,1786,2,608,920,920,0,2,6,2001,0,2002,1,162.0,1,1,0,1,0,486,0,0,0,0,0,1,866,42,0,0,1,1,0,1,0,11250,0,1,1,1,1,1,0,1,1,1,0,434,1.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,60,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1458,0,0,0,0,126,3,2598,0,3,3,0,33750,0.0002666666666666667,3,0,0,3,3,0.0,3,0,3,0,0,0.0,0,1302,0,3,0.0,0,0.0
140000,7,1717,3,642,756,961,1,1,7,1915,0,1970,0,0.0,1,0,1,0,0,216,0,0,0,0,0,1,756,35,0,0,0,0,0,0,0,9550,1,1,1,1,1,1,0,0,1,1,0,540,1.0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,272,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,70,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,864,0,0,0,0,140,4,3024,0,0,0,0,38200,0.000418848167539267,0,0,4,0,4,0.0,4,0,4,0,0,0.0,0,2160,0,4,0.0,0,0.0
250000,8,2198,3,836,1145,1145,0,2,9,2000,0,2000,1,350.0,1,1,0,1,0,655,0,0,0,1,192,1,1053,84,0,0,1,1,0,1,0,14260,0,1,1,1,1,1,0,1,1,1,0,490,1.0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,3275,0,0,0,960,420,5,5265,0,5,5,0,71300,0.0003506311360448808,5,0,0,5,5,0.0,5,0,5,0,0,0.0,0,2450,0,5,0.0,0,0.0
143000,5,1362,2,480,796,796,1,1,5,1993,1,1995,0,0.0,0,0,0,1,0,732,0,0,0,0,40,0,566,30,0,0,1,1,0,1,0,14115,1,1,1,0,1,1,0,1,1,1,0,64,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,50,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,700,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4392,0,0,0,240,180,0,3396,0,6,6,0,84690,0.0004250797024442083,6,0,6,6,0,0.0,6,0,6,0,0,0.0,0,384,0,6,0.0,0,0.0
307000,8,1694,2,636,1686,1694,0,2,7,2004,0,2005,1,186.0,1,1,0,1,0,1369,0,0,0,0,255,1,0,57,0,0,1,1,0,0,1,10084,0,1,1,0,1,1,0,0,1,1,0,317,1.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,20,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,9583,0,0,0,1785,399,7,0,0,7,7,7,70588,0.0006941689805632685,0,0,0,0,0,0.0,7,0,7,0,0,0.0,0,2219,0,7,0.0,0,0.0
200000,7,2090,2,484,1107,1107,1,2,7,1973,1,1973,0,240.0,2,0,0,0,0,859,0,0,1,0,235,0,983,204,0,0,0,0,0,1,0,10382,0,1,1,1,1,1,0,1,1,1,0,216,1.0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,60,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2009,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6872,8,0,0,1880,1632,0,7864,0,0,0,0,83056,0.0007705644384511655,8,0,0,8,8,0.0,8,0,8,0,0,0.0,0,1728,0,8,0.0,0,0.0
129900,7,1774,2,468,952,1022,1,2,8,1931,1,1950,0,0.0,2,0,1,0,0,0,0,0,0,0,90,0,752,0,0,0,0,0,1,0,1,6120,1,1,0,0,1,0,0,0,0,1,0,952,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,205,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,50,1,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,810,0,0,6768,9,0,0,9,55080,0.0014705882352941176,0,0,9,0,0,0.0,9,0,0,9,0,0.0,0,8568,0,9,0.0,0,0.0
118000,5,1077,1,205,991,1077,1,1,5,1939,1,1950,0,0.0,2,0,1,1,0,851,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,7420,1,1,1,0,1,1,0,0,1,1,0,140,1.0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,190,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,8510,0,0,0,0,40,0,0,0,0,0,10,74200,0.0013477088948787063,0,0,10,0,0,0.0,10,0,10,0,0,0.0,0,1400,10,10,0.0,0,0.0
